sample_id,token,importance,position,text_preview
0,盗窃罪是指以非法占有为目的，秘密窃取公私财物数额较大的行为。,1.7636557817459106,2,被告人盗窃他人手机价值5000元 [SEP] 盗窃罪是指以非法占有为目的，秘密窃取公私财物数额较大的
0,被告人盗窃他人手机价值5000元,0.1750388890504837,0,被告人盗窃他人手机价值5000元 [SEP] 盗窃罪是指以非法占有为目的，秘密窃取公私财物数额较大的
0,[SEP],0.05482262372970581,1,被告人盗窃他人手机价值5000元 [SEP] 盗窃罪是指以非法占有为目的，秘密窃取公私财物数额较大的
1,交通肇事罪是指违反交通运输管理法规，因而发生重大事故的行为。,0.7268425226211548,2,交通事故致一人死亡 [SEP] 交通肇事罪是指违反交通运输管理法规，因而发生重大事故的行为。
1,[SEP],0.41382884979248047,1,交通事故致一人死亡 [SEP] 交通肇事罪是指违反交通运输管理法规，因而发生重大事故的行为。
1,交通事故致一人死亡,0.08032779395580292,0,交通事故致一人死亡 [SEP] 交通肇事罪是指违反交通运输管理法规，因而发生重大事故的行为。
2,[SEP],0.1152481734752655,1,合同纠纷涉及违约金支付 [SEP] 合同纠纷的解决需依据合同约定和相关法律规定。
2,合同纠纷的解决需依据合同约定和相关法律规定。,0.031040754169225693,2,合同纠纷涉及违约金支付 [SEP] 合同纠纷的解决需依据合同约定和相关法律规定。
2,合同纠纷涉及违约金支付,0.029410935938358307,0,合同纠纷涉及违约金支付 [SEP] 合同纠纷的解决需依据合同约定和相关法律规定。
3,故意伤害罪根据伤害程度分为轻伤、重伤和致人死亡。,0.5605799555778503,2,故意伤害致人轻伤 [SEP] 故意伤害罪根据伤害程度分为轻伤、重伤和致人死亡。
3,故意伤害致人轻伤,0.21373072266578674,0,故意伤害致人轻伤 [SEP] 故意伤害罪根据伤害程度分为轻伤、重伤和致人死亡。
3,[SEP],0.08708183467388153,1,故意伤害致人轻伤 [SEP] 故意伤害罪根据伤害程度分为轻伤、重伤和致人死亡。
4,贪污罪是指国家工作人员利用职务便利非法占有公共财物。,1.6020095348358154,2,贪污公款100万元 [SEP] 贪污罪是指国家工作人员利用职务便利非法占有公共财物。
4,贪污公款100万元,0.07349036633968353,0,贪污公款100万元 [SEP] 贪污罪是指国家工作人员利用职务便利非法占有公共财物。
4,[SEP],0.0534416027367115,1,贪污公款100万元 [SEP] 贪污罪是指国家工作人员利用职务便利非法占有公共财物。
